	call_a	call_b	dist_score	intense_a	intense_b
0	20170806_VCVM001_01_11_05_400_0_00_065_sn	20170806_VHMM003_01_10_57_645_0_00_063_sn	0.6088888049125671	-52.014418611830216	-37.16833889679351
1	20170806_VCVM001_01_11_05_645_0_00_068_sn	20170806_VHMM003_01_10_57_887_0_00_071_sn	0.8908032774925232	-51.33089079569079	-37.50676530105901
2	20170806_VCVM001_01_11_05_880_0_00_062_sn	20170806_VHMM003_01_10_58_067_0_00_058_sn	0.4801333844661712	-53.40282301594091	-39.470864543308785
3	20170806_VCVM001_01_11_05_880_0_00_062_sn	20170806_VHMM003_01_10_58_153_0_00_069_sn	0.6666125059127808	-53.40282301594091	-37.582972177684645
4	20170806_VCVM001_01_12_26_129_0_00_064_sn_x	20170806_VHMM002_01_12_08_899_0_00_066_sn	0.96536386013031	-36.34437832932953	-38.83581457154555
5	20170806_VCVM001_01_35_43_686_0_00_219_cc_x	20170806_VHMM006_01_35_51_330_0_00_213_cc	0.8545307517051697	-37.0262843808805	-51.04044405747861
6	20170806_VCVM001_01_42_53_873_0_00_132_cc	20170806_VHMM007_01_42_53_608_0_00_115_cc	0.6148582100868225	-48.602565616255845	-56.21967227411317
7	20170806_VHMF001_01_03_11_622_0_00_171_cc	20170806_VHMM006_01_03_36_211_0_00_138_cc_x	0.6769619584083557	-39.503938742767666	-37.766215428916865
8	20170806_VHMF001_01_03_27_843_0_00_144_cc_x	20170806_VHMM002_01_03_32_784_0_00_125_cc_x	0.4150452017784118	-25.701378279021576	-29.68899222784843
9	20170806_VHMF001_01_06_13_774_0_00_117_cc_x	20170806_VHMM003_01_06_28_408_0_00_108_cc	0.4582431018352508	-31.27170426460149	-50.160996185911515
10	20170806_VHMF001_01_10_43_884_0_00_070_sn	20170806_VHMM003_01_10_58_571_0_00_064_sn	0.3579756915569305	-36.73119716515322	-39.21268348706698
11	20170806_VHMF001_01_10_47_961_0_00_070_sn	20170806_VHMM006_01_11_13_557_0_00_062_sn	1.0386725664138794	-30.87048965892274	-55.27357248731917
12	20170806_VHMF001_01_10_53_731_0_00_202_ld	20170806_VHMM003_01_11_08_480_0_00_160_cc	0.7264240384101868	-29.568811974574054	-36.735933286136245
13	20170806_VHMF001_01_11_08_395_0_00_059_sn	20170806_VHMM003_01_11_23_234_0_00_058_sn	0.2812055945396423	-36.990256691922	-40.338369674606646
14	20170806_VHMF001_01_11_10_045_0_00_063_sn	20170806_VHMM006_01_11_35_634_0_00_079_sn	0.4525811076164245	-32.60655632519021	-52.61030360051676
15	20170806_VHMF001_01_11_10_577_0_00_078_sn	20170806_VHMM006_01_11_36_261_0_00_066_sn	0.4918095469474792	-34.10543991322379	-51.34861748839472
16	20170806_VHMF001_01_26_06_625_0_00_225_unk_x	20170806_VHMM006_01_26_34_088_0_00_191_cc_x	0.596562922000885	-33.37535427790068	-29.709402190403228
17	20170806_VHMF001_01_30_42_383_0_00_116_cc	20170806_VHMM002_01_30_47_871_0_00_148_cc	0.7661371827125549	-37.13502589086029	-41.5274497827831
18	20170806_VHMF001_01_31_33_773_0_00_058_sn	20170806_3_VLF206_00_18_42_128_0_00_047_sn	0.8375373482704163	-36.454183882736366	-33.522075793888206
19	20170806_VHMF001_01_36_14_840_0_00_154_unk	20170806_VHMM003_01_36_30_295_0_00_140_soc	0.3377520143985748	-40.6806648808056	-47.52536266173831
20	20170806_VHMF001_01_36_15_795_0_00_122_unk	20170806_VHMM003_01_36_31_240_0_00_136_soc	0.0869674161076545	-45.17080634488099	-46.12409175985955
21	20170806_VHMF001_01_36_16_056_0_00_278_unk	20170806_VHMM003_01_36_31_500_0_00_278_soc_*	0.1636198759078979	-37.93256118304355	-52.389056123839225
22	20170806_VHMF001_01_36_16_438_0_00_257_unk	20170806_VHMM003_01_36_31_901_0_00_250_soc	0.069679744541645	-43.536916538279485	-43.05379865705468
23	20170806_VHMF001_01_37_00_060_0_00_117_cc	20170806_VHMM003_01_37_15_456_0_00_113_move	0.6996329426765442	-36.94181412365846	-47.38647814792085
24	20170806_VHMF001_01_51_18_951_0_00_081_sn	20170806_VHMM006_01_51_49_553_0_00_086_sn_*	0.741355299949646	-44.3417923258793	-53.6582572720333
25	20170806_VHMF001_01_51_44_070_0_00_068_sn	20170806_VHMM006_01_52_14_795_0_00_082_sn	0.3302196860313415	-50.79016459504621	-54.32224799013562
26	20170806_VHMF001_01_58_13_739_0_00_114_cc	20170806_VHMM006_01_58_45_219_0_00_132_cc	0.558467447757721	-40.959251601860664	-51.09698127138145
27	20170806_VHMM002_01_00_29_213_0_00_159_cc	20170806_2_VLF206_00_16_15_314_0_00_185_mo	0.3757026791572571	-40.40018574507687	-28.97833472044633
28	20170806_VHMM002_01_06_14_847_0_00_148_cc_x	20170806_VHMM007_01_06_28_034_0_00_165_cc	0.4677598178386688	-35.98775699046223	-53.938839544531774
29	20170806_VHMM002_01_09_58_067_0_00_060_sn	20170806_VHMM006_01_10_18_373_0_00_067_sn	0.8754456043243408	-36.369912384323214	-44.037249608346166
30	20170806_VHMM002_01_09_58_067_0_00_060_sn	20170806_2_VLF206_00_25_43_078_0_00_049_sn	0.1198263093829155	-36.369912384323214	-38.77654237493498
31	20170806_VHMM002_01_12_07_705_0_00_052_sn	20170806_VHMM007_01_12_21_178_0_00_049_sn	0.8517251014709473	-45.58542733950466	-51.11254865494683
32	20170806_VHMM002_01_14_48_112_0_00_056_sn	20170806_3_VLF206_00_01_52_950_0_00_049_sn	0.1624775975942611	-38.31932968230761	-29.656586480570745
33	20170806_VHMM002_01_14_48_600_0_00_229_mo	20170806_3_VLF206_00_01_53_400_0_00_227_mo	0.0606357231736183	-43.43769994364504	-41.001560712189125
34	20170806_VHMM002_01_30_47_772_0_00_060_sn	20170806_VHMM003_01_30_57_648_0_00_063_sn	1.0470677614212036	-38.24778748164536	-51.4238282035725
35	20170806_VHMM002_01_41_43_115_0_00_045_sn	20170806_VHMM007_01_41_57_761_0_00_051_sn	1.111578345298767	-47.92751915770317	-54.38976496318736
36	20170806_VHMM002_01_45_24_871_0_00_128_sn	20170806_VHMM003_01_45_34_897_0_00_144_cc_x	0.690617024898529	-49.56224473421872	-22.79944500566101
37	20170806_VHMM002_01_51_57_620_0_00_201_unk	20170806_VHMM006_01_52_22_609_0_00_215_unk_*	0.245514765381813	-49.5866485055172	-56.62276616988179
38	20170806_VHMM002_01_52_00_283_0_00_060_sn	20170806_VHMM006_01_52_25_294_0_00_072_sn_*	0.2342572510242462	-47.05049971286559	-42.24797893276055
39	20170806_VHMM003_01_11_18_112_0_00_052_sn	20170806_2_VLF206_00_26_53_369_0_00_046_sn	1.039950609207153	-42.79455820939374	-24.810830009917755
40	20170806_VHMM003_01_11_21_637_0_00_069_sn	20170806_VHMM006_01_11_32_543_0_00_060_sn	0.4741089940071106	-39.60466964983756	-52.67400255851569
41	20170806_VHMM003_01_11_23_234_0_00_058_sn	20170806_VHMM006_01_11_34_102_0_00_066_sn	0.6983350515365601	-40.338369674606646	-52.18807764857813
42	20170806_VHMM003_01_11_26_135_0_00_062_sn	20170806_VHMM006_01_11_36_883_0_00_077_sn	0.8811116814613342	-40.454825885206205	-52.87996101224941
43	20170806_VHMM003_01_11_51_084_0_00_058_sn	20170806_VHMM007_01_11_54_912_0_00_054_sn	0.3186379075050354	-40.58831695226638	-52.54948727452377
44	20170806_VHMM003_01_11_51_084_0_00_058_sn	20170806_2_VLF206_00_27_26_341_0_00_045_sn	0.9144662022590636	-40.58831695226638	-39.26778987923033
45	20170806_VHMM003_01_12_04_824_0_00_258_hyb__(sn+ld)	20170806_2_VLF206_00_27_39_995_0_00_245_mo_nondoc	0.196075290441513	-36.07307890419242	-56.220930805311525
46	20170806_VHMM003_01_20_17_964_0_00_200_cc	20170806_VHMM006_01_20_29_656_0_00_246_cc	0.6747563481330872	-51.51949124629284	-38.020704062370754
47	20170806_VHMM003_01_21_52_345_0_00_176_cc	20170806_VHMM006_01_22_04_134_0_00_201_cc_x	0.5983217358589172	-46.09783606376971	-25.608773457019957
48	20170806_VHMM003_01_24_58_000_0_00_235_cc	20170806_3_VLF206_00_11_51_950_0_00_211_unk__(mo_?)	0.2132518291473388	-43.927296243147175	-37.45516790899935
49	20170806_VHMM006_01_10_42_264_0_00_061_sn	20170806_2_VLF206_00_26_06_829_0_00_055_sn	0.4579611122608185	-48.011161271884795	-40.97675101543426
50	20170806_VHMM006_01_10_42_682_0_00_224_ld	20170806_2_VLF206_00_26_07_265_0_00_186_mo	0.1873137503862381	-47.75716653188664	-39.495866798997426
